year,crossingType,absoluteChange,pctChange
2018,Truck Containers Loaded,-1467,-38.232995
2018,Trucks,-793,-33.193805
2019,Bus Passengers,-65,-51.587302
2019,Buses,0,0
2019,Pedestrians,,
2019,Personal Vehicle Passengers,-1184,-4.319119
2019,Personal Vehicles,-281,-2.255941
2019,Rail Containers Empty,,
2019,Rail Containers Loaded,,
2019,Total,-470,-1.068352
2019,Train Passengers,,
2019,Trains,,
2019,Truck Containers Empty,14,50
2019,Truck Containers Loaded,659,27.805907
2019,Trucks,387,24.24812
2020,Bus Passengers,-61,-100
2020,Buses,-4,-100
2020,Pedestrians,,
2020,Personal Vehicle Passengers,-22389,-85.359716
2020,Personal Vehicles,-10083,-82.817248
2020,Rail Containers Empty,,
2020,Rail Containers Loaded,,
2020,Total,-33990,-78.096639
2020,Train Passengers,,
2020,Trains,,
2020,Truck Containers Empty,21,50
2020,Truck Containers Loaded,-972,-32.089799
2020,Trucks,-513,-25.869894
2021,Bus Passengers,,
2021,Buses,,
2021,Pedestrians,-11,-100
2021,Personal Vehicle Passengers,116,3.020833
2021,Personal Vehicles,179,8.556405
2021,Rail Containers Empty,,
2021,Rail Containers Loaded,,
2021,Total,598,6.272947
2021,Train Passengers,,
2021,Trains,,
2021,Truck Containers Empty,29,46.031746
2021,Truck Containers Loaded,219,10.646573
2021,Trucks,66,4.489796
2022,Bus Passengers,,
2022,Buses,,
2022,Pedestrians,,
2022,Personal Vehicle Passengers,11726,296.410516
2022,Personal Vehicles,5685,250.330251
2022,Rail Containers Empty,,
2022,Rail Containers Loaded,,
2022,Total,14877,146.846313
2022,Train Passengers,,
2022,Trains,,
2022,Truck Containers Empty,-44,-47.826087
2022,Truck Containers Loaded,-1540,-67.662566
2022,Trucks,-1021,-66.471354
2023,Bus Passengers,-68,-100
2023,Buses,-2,-100
2023,Pedestrians,-1,-100
2023,Personal Vehicle Passengers,7068,45.070782
2023,Personal Vehicles,3044,38.260432
2023,Rail Containers Empty,,
2023,Rail Containers Loaded,,
2023,Total,10030,40.107166
2023,Train Passengers,,
2023,Trains,,
2023,Truck Containers Empty,-8,-16.666667
2023,Truck Containers Loaded,20,2.717391
2023,Trucks,-23,-4.466019
2024,Bus Passengers,,
2024,Buses,,
2024,Pedestrians,,
2024,Personal Vehicle Passengers,2567,11.283516
2024,Personal Vehicles,1193,10.845455
2024,Rail Containers Empty,,
2024,Rail Containers Loaded,,
2024,Total,3410,9.732291
2024,Train Passengers,,
2024,Trains,,
2024,Truck Containers Empty,81,202.5
2024,Truck Containers Loaded,-306,-40.47619
2024,Trucks,-125,-25.406504
2025,Bus Passengers,,
2025,Buses,,
2025,Pedestrians,,
2025,Personal Vehicle Passengers,-8276,-32.689497
2025,Personal Vehicles,-3937,-32.289018
2025,Rail Containers Empty,,
2025,Rail Containers Loaded,,
2025,Total,-12569,-32.690907
2025,Train Passengers,,
2025,Trains,,
2025,Truck Containers Empty,-30,-24.793388
2025,Truck Containers Loaded,-193,-42.888889
2025,Trucks,-133,-36.239782
