month,crossingType,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Feb,Truck Containers Loaded,,0,0,0,0,0,4,-1,-1,19,-21,0,0,0,0,0,0,0
Feb,Trucks,,1,-9,9,0,24,-28,-4,-2,19,-11,-10,0,0,3,-1,15,-17
Mar,Bus Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Buses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Personal Vehicle Passengers,,80,72,-17,-49,137,-250,-293,-139,-16,-71,36,-172,141,10,-19,-4,-128
Mar,Personal Vehicles,,66,49,-44,-17,41,-116,-40,-129,-17,-29,26,-93,71,16,-9,0,-78
Mar,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Total,,124,120,-49,-70,224,-407,-341,-273,-25,-110,63,-265,229,12,-30,-6,-206
Mar,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,Truck Containers Empty,,0,0,0,0,1,2,1,-4,1,-1,0,0,2,-2,0,0,0
Mar,Truck Containers Loaded,,0,0,0,0,27,-22,-5,1,4,-5,0,0,7,-7,0,0,0
Mar,Trucks,,-22,-1,12,-4,18,-21,-4,-2,3,-4,1,0,8,-5,-2,-2,0
Apr,Bus Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr,Buses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr,Personal Vehicle Passengers,,526,-106,-115,-9,27,-198,-136,-314,15,-80,21,-205,184,-22,-42,-2,-118
Apr,Personal Vehicles,,256,-24,-84,-25,50,-89,-18,-180,-28,-25,24,-103,89,10,-32,-7,-60
Apr,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr,Total,,783,-131,-195,-30,93,-283,-158,-522,7,-124,58,-323,276,-15,-75,-8,-179
Apr,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr,Truck Containers Empty,,0,0,0,0,3,4,-3,-4,2,-2,8,-8,0,0,0,0,0
Apr,Truck Containers Loaded,,0,0,0,0,12,-1,0,-10,8,-8,-1,0,0,0,0,0,0
Apr,Trucks,,1,-1,4,4,1,1,-1,-14,10,-9,6,-7,3,-3,-1,1,-1
May,Bus Passengers,,-47,37,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Buses,,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Personal Vehicle Passengers,,109,-75,73,-25,-79,-10,-449,-301,-15,-51,-15,-181,252,-70,-68,0,-114
May,Personal Vehicles,,82,9,9,-56,-24,-17,-139,-195,4,-22,-4,-95,134,-31,-31,45,-117
May,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Total,,146,-28,51,-62,-90,-53,-574,-519,-9,-58,-41,-283,389,-105,-100,45,-231
May,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Truck Containers Empty,,0,0,0,0,10,-5,6,-7,2,7,-13,0,0,0,0,0,0
May,Truck Containers Loaded,,0,0,0,0,13,-6,1,-5,-1,0,-2,0,0,0,0,0,0
May,Trucks,,3,0,7,19,-10,-15,7,-11,1,8,-7,-7,3,-4,-1,0,0
Jun,Bus Passengers,,145,-111,42,-76,27,-27,0,0,0,0,0,0,0,0,0,0,0
Jun,Buses,,4,-3,1,-2,1,-1,0,0,0,0,0,0,0,0,0,0,0
Jun,Pedestrians,,0,0,0,0,35,-35,0,0,0,0,0,0,0,0,0,0,0
Jun,Personal Vehicle Passengers,,280,-116,55,-171,133,-13,-596,-41,-329,41,-277,0,291,-56,-103,65,-197
Jun,Personal Vehicles,,161,13,21,-127,-4,25,-227,-115,-62,20,5,-140,147,-3,-72,50,-122
Jun,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun,Total,,587,-219,131,-374,203,-5,-856,-182,-403,59,-272,-139,436,-58,-177,115,-319
Jun,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun,Truck Containers Empty,,0,0,0,0,2,22,-12,-6,-4,-2,0,0,0,0,0,0,0
Jun,Truck Containers Loaded,,0,0,0,0,12,14,-17,-7,-2,1,-1,0,0,0,0,0,0
Jun,Trucks,,-3,-2,12,2,-3,10,-4,-13,-6,-1,1,1,-2,1,-2,0,0
Jul,Bus Passengers,,0,18,-18,0,0,14,-14,0,0,0,0,0,0,0,0,0,0
Jul,Buses,,0,1,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0
Jul,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul,Personal Vehicle Passengers,,320,-54,393,-400,-105,-63,-402,-340,23,-148,-303,426,-36,-140,-53,-13,-184
Jul,Personal Vehicles,,117,9,116,-199,-45,19,-120,-204,4,-58,7,15,11,-33,-33,0,-110
Jul,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul,Total,,440,-29,506,-590,-140,-27,-518,-593,21,-206,-294,439,-29,-171,-88,-13,-294
Jul,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul,Truck Containers Empty,,0,0,0,0,3,9,-2,-6,-2,0,1,-3,0,0,0,0,0
Jul,Truck Containers Loaded,,0,0,0,0,16,-9,13,-19,-1,0,0,0,0,0,0,0,0
Jul,Trucks,,3,-3,16,9,-9,2,8,-24,-3,0,1,1,-4,2,-2,0,0
Aug,Bus Passengers,,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug,Buses,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug,Personal Vehicle Passengers,,499,-382,431,-208,-87,-86,-579,-289,-376,284,46,-54,-2,-3,-61,-40,-170
Aug,Personal Vehicles,,10,-41,168,-137,-127,24,-244,-138,-164,145,0,5,-14,2,-17,-26,-95
Aug,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug,Total,,477,-431,622,-351,-215,-54,-822,-447,-544,429,44,-51,-20,-1,-80,-66,-265
Aug,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug,Truck Containers Empty,,0,0,0,0,3,1,4,-5,6,-9,3,-3,0,0,0,0,0
Aug,Truck Containers Loaded,,0,0,0,0,10,3,-4,-5,-3,4,-4,-1,0,0,0,0,0
Aug,Trucks,,-5,-8,23,-6,-14,4,1,-10,-7,5,-1,2,-4,0,-2,0,0
Sep,Bus Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep,Buses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep,Personal Vehicle Passengers,,179,-131,217,-193,-221,324,-568,-314,-57,37,20,-232,197,68,-114,11,-162
Sep,Personal Vehicles,,-48,-44,99,-111,-98,156,-227,-188,-15,40,-21,-113,113,34,-64,9,-92
Sep,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep,Total,,128,-175,330,-303,-323,564,-868,-502,-93,76,-3,-350,315,101,-181,26,-261
Sep,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep,Truck Containers Empty,,0,0,0,0,2,32,-25,-5,-1,-3,2,-2,0,0,0,0,0
Sep,Truck Containers Loaded,,0,0,0,0,7,12,-14,6,-10,-1,0,0,0,0,0,0,0
Sep,Trucks,,-3,0,14,1,-13,40,-34,-1,-10,3,-4,-3,5,-1,-3,6,-7
Oct,Bus Passengers,,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct,Buses,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct,Personal Vehicle Passengers,,-205,-15,143,-80,-295,77,-435,-147,-2,-35,34,-44,-39,-19,-32,21,-131
Oct,Personal Vehicles,,-128,14,33,-42,-155,59,-178,-96,-20,1,8,1,-35,12,-23,11,-76
Oct,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct,Total,,-367,12,179,-101,-482,203,-667,-207,-8,-108,101,-101,-73,-9,-56,78,-253
Oct,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct,Truck Containers Empty,,0,0,0,0,6,12,-14,8,-6,-6,1,-1,0,0,0,0,0
Oct,Truck Containers Loaded,,0,0,0,0,0,21,-12,10,14,-33,29,-28,-1,0,0,0,0
Oct,Trucks,,-7,13,3,21,-38,34,-28,18,6,-35,29,-29,2,-2,-1,46,-46
Nov,Bus Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov,Buses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov,Personal Vehicle Passengers,,151,-231,375,-391,33,37,-449,-70,-85,9,-155,188,-41,-27,-22,-16,-82
Nov,Personal Vehicles,,36,-96,170,-158,-21,79,-239,-48,-22,-13,-72,82,3,-10,-15,-2,-58
Nov,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov,Total,,179,-329,579,-573,18,166,-728,-77,-176,-8,-185,242,-50,-22,-44,-11,-157
Nov,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov,Truck Containers Empty,,0,0,0,0,7,16,-19,-4,2,-2,2,-1,-1,0,0,0,0
Nov,Truck Containers Loaded,,0,0,0,0,4,9,-1,24,-36,0,19,-13,-6,0,0,0,0
Nov,Trucks,,-8,-2,34,-24,-5,25,-20,21,-35,-2,21,-14,-5,15,-7,7,-17
Dec,Bus Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec,Buses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec,Pedestrians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec,Personal Vehicle Passengers,,110,-135,228,-215,36,97,-514,-74,-43,30,-220,124,-11,1,-1,-5,-108
Dec,Personal Vehicles,,136,-173,144,-116,5,89,-274,-44,-17,7,-99,59,12,-1,-4,-1,-65
Dec,Rail Containers Empty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec,Rail Containers Loaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec,Total,,251,-317,394,-341,45,205,-828,-102,-59,59,-345,176,19,-24,40,-22,-201
Dec,Train Passengers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec,Trains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec,Truck Containers Empty,,0,0,0,0,5,3,-8,0,8,-7,9,-10,0,0,0,0,2
Dec,Truck Containers Loaded,,0,0,0,0,6,7,-12,8,-8,18,-19,2,-2,0,0,0,0
Dec,Trucks,,5,-9,22,-10,-7,9,-20,8,1,11,-16,1,20,-24,45,-16,-30
